name,name_lower,status,pick,college,br_profile_url,draft_year
Vanja Marinkovic,vanja marinkovic,drafted,60.0,PAR,https://www.basketball-reference.com/players/m/marinva01.html,2019
Vlatko Cancar,vlatko cancar,drafted,49.0,MEG,https://www.basketball-reference.com/players/c/cancavl01.html,2017
Ante Zizic,ante zizic,drafted,23.0,CIB,https://www.basketball-reference.com/players/z/zizican01.html,2016
Timothe Luwawu-Cabarrot,timothe luwawu-cabarrot,drafted,24.0,MEG,https://www.basketball-reference.com/players/l/luwawti01.html,2016
Dario Saric,dario saric,drafted,12.0,CIB,https://www.basketball-reference.com/players/s/saricda01.html,2014
Jusuf Nurkic,jusuf nurkic,drafted,16.0,CED,https://www.basketball-reference.com/players/n/nurkiju01.html,2014
Nikola Jokic,nikola jokic,drafted,41.0,MEG,https://www.basketball-reference.com/players/j/jokicni01.html,2014
Nikola Milutinov,nikola milutinov,drafted,26.0,PAR,https://www.basketball-reference.com/players/m/milutni01.html,2015
Vasilije Micic,vasilije micic,drafted,52.0,MEG,https://www.basketball-reference.com/players/m/micicva01.html,2014
Rade Zagorac,rade zagorac,drafted,35.0,MEG,https://www.basketball-reference.com/players/z/zagorra01.html,2016
Nikola Djurisic,nikola djurisic,drafted,43.0,MEG,https://www.basketball-reference.com/players/d/djurini01.html,2024
Nikola Topic,nikola topic,drafted,12.0,MEG,https://www.basketball-reference.com/players/t/topicni01.html,2024
Dzanan Musa,dzanan musa,drafted,29.0,CED,https://www.basketball-reference.com/players/m/musadz01.html,2018
Goga Bitadze,goga bitadze,drafted,18.0,MEG,https://www.basketball-reference.com/players/b/bitadgo01.html,2019
Luka Samanic,luka samanic,drafted,19.0,OLI,https://www.basketball-reference.com/players/s/samanlu01.html,2019
Bogoljub Markovic,bogoljub markovic,drafted,47.0,MEG,https://www.basketball-reference.com/players/m/markobo01.html,2025
Joan Beringer,joan beringer,drafted,17.0,COL,https://www.basketball-reference.com/players/b/berinjo01.html,2025
Karlo Matkovic,karlo matkovic,drafted,52.0,MEG,https://www.basketball-reference.com/players/m/matkoka01.html,2022
Nikola Jovic,nikola jovic,drafted,27.0,MEG,https://www.basketball-reference.com/players/j/jovicni01.html,2022
Tristan Vukcevic,tristan vukcevic,drafted,42.0,PAR,https://www.basketball-reference.com/players/v/vukcetr01.html,2023
Filip Petrusev,filip petrusev,drafted,50.0,MEG,https://www.basketball-reference.com/players/p/petrufi01.html,2021
Marko Simonovic,marko simonovic,drafted,44.0,MEG,https://www.basketball-reference.com/players/s/simonma01.html,2020
Khalifa Diop,khalifa diop,drafted,39.0,GCN,https://www.basketball-reference.com/players/d/diopkh01.html,2022
Usman Garuba,usman garuba,drafted,23.0,RMB,https://www.basketball-reference.com/players/g/garubus01.html,2021
Yannick Nzosa,yannick nzosa,drafted,54.0,UNI,https://www.basketball-reference.com/players/n/nzosaya01.html,2022
Sergio Llull,sergio llull,drafted,34.0,RMB,https://www.basketball-reference.com/players/l/llullse01.html,2009
Ricky Rubio,ricky rubio,drafted,5.0,JOV,https://www.basketball-reference.com/players/r/rubiori01.html,2009
Victor Claver,victor claver,drafted,22.0,VAL,https://www.basketball-reference.com/players/c/clavevi01.html,2009
Vit Krejci,vit krejci,drafted,37.0,ZAR,https://www.basketball-reference.com/players/k/krejcvi01.html,2020
James Nnaji,james nnaji,drafted,31.0,FCB,https://www.basketball-reference.com/players/n/nnajija01.html,2023
Juan Nunez,juan nunez,drafted,36.0,RMB,https://www.basketball-reference.com/players/n/nunezju01.html,2024
Luka Doncic,luka doncic,drafted,3.0,RMB,https://www.basketball-reference.com/players/d/doncilu01.html,2018
Hugo Gonzalez,hugo gonzalez,drafted,28.0,RMB,https://www.basketball-reference.com/players/g/gonzahu01.html,2025
Edy Tavares,edy tavares,drafted,43.0,GCN,https://www.basketball-reference.com/players/t/tavarwa01.html,2014
Kristaps Porzingis,kristaps porzingis,drafted,4.0,BETIS,https://www.basketball-reference.com/players/p/porzikr01.html,2015
Marcus Eriksson,marcus eriksson,drafted,50.0,MAN,https://www.basketball-reference.com/players/e/eriksma01.html,2015
Daniel Diez,daniel diez,drafted,24.0,GBC,,
Mario Hezonja,mario hezonja,drafted,5.0,FCB,https://www.basketball-reference.com/players/h/hezonma01.html,2015
Nikola Radicevic,nikola radicevic,drafted,57.0,BETIS,https://www.basketball-reference.com/players/r/radicni01.html,2015
Willy Hernangomez,willy hernangomez,drafted,35.0,BETIS,https://www.basketball-reference.com/players/h/hernawi01.html,2015
Anzejs Pasecniks,anzejs pasecniks,drafted,25.0,GCN,https://www.basketball-reference.com/players/p/pasecan01.html,2017
Sasha Vezenkov,sasha vezenkov,drafted,57.0,FCB,https://www.basketball-reference.com/players/v/vezenal01.html,2017
Juancho Hernangomez,juancho hernangomez,drafted,15.0,EST,https://www.basketball-reference.com/players/h/hernaju01.html,2016
Raulzinho Neto,raulzinho neto,drafted,17.0,GBC,,
Tomas Satoransky,tomas satoransky,drafted,32.0,BETIS,https://www.basketball-reference.com/players/s/satorto01.html,2012
Nikola Mirotic,nikola mirotic,drafted,23.0,RMB,https://www.basketball-reference.com/players/m/mirotni01.html,2011
Paulao Prestes,paulao prestes,drafted,45.0,MUR,https://www.basketball-reference.com/players/p/prestpa01.html,2010
Alperen Sengun,alperen sengun,drafted,16.0,BES,https://www.basketball-reference.com/players/s/sengual01.html,2021
Tarik Biberovic,tarik biberovic,drafted,56.0,FEN,https://www.basketball-reference.com/players/b/biberta01.html,2023
Furkan Aldemir,furkan aldemir,drafted,53.0,GAL,https://www.basketball-reference.com/players/a/aldemfu01.html,2012
Ilkan Karaman,ilkan karaman,drafted,57.0,PIN,https://www.basketball-reference.com/players/k/karamil01.html,2012
Cedi Osman,cedi osman,drafted,31.0,EFE,https://www.basketball-reference.com/players/o/osmande01.html,2015
Pacome Dadiet,pacome dadiet,drafted,25.0,RUL,https://www.basketball-reference.com/players/d/dadiepa01.html,2024
Zaccharie Risacher,zaccharie risacher,drafted,1.0,JLB,https://www.basketball-reference.com/players/r/risacza01.html,2024
Ben Saraf,ben saraf,drafted,26.0,RUL,https://www.basketball-reference.com/players/s/sarafbe01.html,2025
Noa Essengue,noa essengue,drafted,12.0,RUL,https://www.basketball-reference.com/players/e/essenno01.html,2025
Saliou Niang,saliou niang,drafted,58.0,TREN,https://www.basketball-reference.com/players/n/niangsa01.html,2025
Deividas Sirvydis,deividas sirvydis,drafted,37.0,LIE,https://www.basketball-reference.com/players/s/sirvyde01.html,2019
Theo Maledon,theo maledon,drafted,34.0,LYV,https://www.basketball-reference.com/players/m/maledth01.html,2020
Mohamed Diawara,mohamed diawara,drafted,51.0,PAR,https://www.basketball-reference.com/players/d/diawamo01.html,2025
Milan Macvan,milan macvan,drafted,54.0,SWIS,https://www.basketball-reference.com/players/m/macvami01.html,2011
Tadija Dragicevic,tadija dragicevic,drafted,53.0,ZVE,https://www.basketball-reference.com/players/d/dragita01.html,2008
Killian Hayes,killian hayes,drafted,7.0,RUL,https://www.basketball-reference.com/players/h/hayeski01.html,2020
Alessandro Gentile,alessandro gentile,drafted,53.0,TREV,https://www.basketball-reference.com/players/g/gential01.html,2014
Donatas Motiejunas,donatas motiejunas,drafted,20.0,TREV,https://www.basketball-reference.com/players/m/motiedo01.html,2011
Kevin Seraphin,kevin seraphin,drafted,17.0,CHO,https://www.basketball-reference.com/players/s/serapke01.html,2010
Nemanja Bjelica,nemanja bjelica,drafted,35.0,ZVE,https://www.basketball-reference.com/players/b/bjeline01.html,2010
Tibor Pleiss,tibor pleiss,drafted,31.0,BRO,,
Rudy Gobert,rudy gobert,drafted,27.0,CHO,https://www.basketball-reference.com/players/g/goberru01.html,2013
Sergey Karasev,sergey karasev,drafted,19.0,ZEN,https://www.basketball-reference.com/players/k/karasse01.html,2013
Paul Zipser,paul zipser,drafted,48.0,BAY,https://www.basketball-reference.com/players/z/zipsepa01.html,2016
Petr Cornelie,petr cornelie,drafted,53.0,LEM,https://www.basketball-reference.com/players/c/cornepe01.html,2016
Clint Capela,clint capela,drafted,25.0,CHA,https://www.basketball-reference.com/players/c/capelca01.html,2014
Brandon Jennings,brandon jennings,drafted,10.0,ROM,https://www.basketball-reference.com/players/j/jennibr01.html,2009
Emir Preldzic,emir preldzic,drafted,57.0,FEN,https://www.basketball-reference.com/players/p/preldem01.html,2009
Jan Vesely,jan vesely,drafted,6.0,PAR,https://www.basketball-reference.com/players/v/veselja01.html,2011
Omri Casspi,omri casspi,drafted,23.0,MAC,https://www.basketball-reference.com/players/c/casspom01.html,2009
Georgios Kalaitzakis,georgios kalaitzakis,drafted,60.0,PAN,https://www.basketball-reference.com/players/k/kalaige01.html,2021
Rokas Jokubaitis,rokas jokubaitis,drafted,34.0,ZAL,https://www.basketball-reference.com/players/j/jokubro01.html,2021
Deni Avdija,deni avdija,drafted,9.0,MAC,https://www.basketball-reference.com/players/a/avdijde01.html,2020
Danilo Gallinari,danilo gallinari,drafted,6.0,MIL,https://www.basketball-reference.com/players/g/gallida01.html,2008
Goran Dragic,goran dragic,drafted,45.0,OLI,https://www.basketball-reference.com/players/d/dragigo01.html,2008
Nicolas Batum,nicolas batum,drafted,25.0,LEM,https://www.basketball-reference.com/players/b/batumni01.html,2008
Nikola Pekovic,nikola pekovic,drafted,31.0,PAR,https://www.basketball-reference.com/players/p/pekovni01.html,2008
Victor Wembanyama,victor wembanyama,drafted,1.0,LYV,https://www.basketball-reference.com/players/w/wembavi01.html,2023
Arturas Gudaitis,arturas gudaitis,drafted,47.0,ZAL,https://www.basketball-reference.com/players/g/gudaiar01.html,2015
Kostas Papanikolaou,kostas papanikolaou,drafted,48.0,OLY,https://www.basketball-reference.com/players/p/papanko01.html,2012
Alex Abrines,alex abrines,drafted,32.0,FCB,https://www.basketball-reference.com/players/a/abrinal01.html,2013
Marko Todorovic,marko todorovic,drafted,45.0,FCB,https://www.basketball-reference.com/players/t/todorma01.html,2013
Bojan Bogdanovic,bojan bogdanovic,drafted,31.0,CIB,https://www.basketball-reference.com/players/b/bogdabo02.html,2011
Jonas Valanciunas,jonas valanciunas,drafted,5.0,LIE,https://www.basketball-reference.com/players/v/valanjo01.html,2011
Sekou Doumbouya,sekou doumbouya,drafted,15.0,CSP,https://www.basketball-reference.com/players/d/doumbse01.html,2019
Noah Penda,noah penda,drafted,32.0,LEM,https://www.basketball-reference.com/players/p/pendano01.html,2025
Nolan Traore,nolan traore,drafted,19.0,SQB,https://www.basketball-reference.com/players/t/traorno01.html,2025
Melvin Ajinca,melvin ajinca,drafted,51.0,SQB,https://www.basketball-reference.com/players/a/ajincme01.html,2024
Tidjane Salaun,tidjane salaun,drafted,6.0,CHO,https://www.basketball-reference.com/players/s/salauti01.html,2024
Elie Okobo,elie okobo,drafted,31.0,PAU,https://www.basketball-reference.com/players/o/okoboel01.html,2018
Hugo Besson,hugo besson,drafted,58.0,CHA,https://www.basketball-reference.com/players/b/bessohu01.html,2022
Nando De Colo,nando de colo,drafted,53.0,CHO,https://www.basketball-reference.com/players/d/decolna01.html,2009
Rodrigue Beaubois,rodrigue beaubois,drafted,25.0,CHO,https://www.basketball-reference.com/players/b/beaubro01.html,2009
Bilal Coulibaly,bilal coulibaly,drafted,7.0,PLV,https://www.basketball-reference.com/players/c/coulibi01.html,2023
Ismael Kamagate,ismael kamagate,drafted,46.0,PAR,https://www.basketball-reference.com/players/k/kamagis01.html,2022
Evan Fournier,evan fournier,drafted,20.0,PB86,https://www.basketball-reference.com/players/f/fournev01.html,2012
Joffrey Lauvergne,joffrey lauvergne,drafted,55.0,CHA,https://www.basketball-reference.com/players/l/lauvejo01.html,2013
Louis Labeyrie,louis labeyrie,drafted,57.0,HYT,https://www.basketball-reference.com/players/l/labeylo01.html,2014
Damien Inglis,damien inglis,drafted,31.0,ROA,https://www.basketball-reference.com/players/i/inglida01.html,2014
Guerschon Yabusele,guerschon yabusele,drafted,16.0,ROU,https://www.basketball-reference.com/players/y/yabusgu01.html,2016
Frank Ntilikina,frank ntilikina,drafted,8.0,STR,https://www.basketball-reference.com/players/n/ntilila01.html,2017
Mathias Lessort,mathias lessort,drafted,50.0,N92,https://www.basketball-reference.com/players/l/lessoma01.html,2017
Isaia Cordinier,isaia cordinier,drafted,44.0,DEN,https://www.basketball-reference.com/players/c/cordiis01.html,2016
Kyshawn George,kyshawn george,drafted,24.0,CHA,https://www.basketball-reference.com/players/g/georgky01.html,2024
Juhann Begarin,juhann begarin,drafted,45.0,PAR,https://www.basketball-reference.com/players/b/begarju01.html,2021
Terrance Ferguson,terrance ferguson,drafted,21.0,ADE,https://www.basketball-reference.com/players/f/fergute01.html,2017
Rayan Rupert,rayan rupert,drafted,43.0,NZB,https://www.basketball-reference.com/players/r/ruperra01.html,2023
Ariel Hukporti,ariel hukporti,drafted,58.0,MEL,https://www.basketball-reference.com/players/h/hukpoar01.html,2024
Luke Travers,luke travers,drafted,56.0,PER,https://www.basketball-reference.com/players/t/travelu01.html,2022
Mojave King,mojave king,drafted,47.0,ADE,https://www.basketball-reference.com/players/k/kingmo01.html,2023
Ousmane Dieng,ousmane dieng,drafted,11.0,NZB,https://www.basketball-reference.com/players/d/diengou01.html,2022
LaMelo Ball,lamelo ball,drafted,3.0,ILL,https://www.basketball-reference.com/players/b/ballla01.html,2020
R.J. Hampton,r.j. hampton,drafted,24.0,NZB,https://www.basketball-reference.com/players/h/hamptrj01.html,2020
Josh Giddey,josh giddey,drafted,6.0,ADE,https://www.basketball-reference.com/players/g/giddejo01.html,2021
Alex Toohey,alex toohey,drafted,52.0,SYD,https://www.basketball-reference.com/players/t/tooheal01.html,2025
Lachlan Olbrich,lachlan olbrich,drafted,55.0,ILL,https://www.basketball-reference.com/players/o/olbrila01.html,2025
Rocco Zikarsky,rocco zikarsky,drafted,45.0,BRI,https://www.basketball-reference.com/players/z/zikarro01.html,2025
A.J. Johnson,a.j. johnson,drafted,23.0,ILL,,
Alex Sarr,alex sarr,drafted,2.0,PER,https://www.basketball-reference.com/players/s/sarral01.html,2024
Bobi Klintman,bobi klintman,drafted,37.0,CRN,https://www.basketball-reference.com/players/k/klintbo01.html,2024
Daniel Theis,daniel theis,undrafted,NA,,,
Malcolm Cazalon,malcolm cazalon,undrafted,NA,,,
Onuralp Bitim,onuralp bitim,undrafted,NA,,,
Axel Toupane,axel toupane,undrafted,NA,,,
Viacheslav Kravtsov,viacheslav kravtsov,undrafted,NA,,,
Mindaugas Kuzminskas,mindaugas kuzminskas,undrafted,NA,,,
Trentyn Flowers,trentyn flowers,undrafted,NA,,,
Adam Mokoka,adam mokoka,undrafted,NA,,,
Tim Ohlbrecht,tim ohlbrecht,undrafted,NA,,,
William Howard,william howard,undrafted,NA,,,
"Edey, Zach","edey, zach",drafted,9.0,Purdue,https://www.basketball-reference.com/players/e/edeyza01.html,2024
